Date,Open,High,Low,Close,Volume
2009-06-30,17.756,19.317,16.643,17.756,105171177
2009-07-31,17.764,24.025,17.087,23.196,90777279
2009-08-31,23.188,25.82,21.107,24.582,68093424
2009-09-30,24.788,25.824,20.855,24.095,97840506
2009-10-31,24.7,28.275,23.744,27.005,102681981
2009-11-30,26.966,30.593,25.932,29.262,64336219
2009-12-31,29.394,30.484,28.406,29.574,58207289
2010-01-31,29.495,31.699,29.495,30.548,63801082
2010-02-28,30.352,30.779,27.277,28.609,60214196
2010-03-31,28.794,31.285,28.398,31.091,60805543
2010-04-30,31.13,34.414,31.091,33.231,66756370
2010-05-31,33.854,33.931,28.794,32.066,75651136
2010-06-30,31.449,31.659,28.047,28.364,75786542
2010-07-31,28.289,32.064,27.823,30.507,62854791
2010-08-31,30.779,32.281,28.916,29.655,50689319
2010-09-30,29.651,35.706,29.138,34.274,100665922
2010-10-31,34.176,37.415,34.176,36.531,74705859
2010-11-30,36.669,38.162,33.446,34.906,63819699
2010-12-31,35.311,36.904,34.752,35.192,50901771
2011-01-31,35.361,35.702,32.284,33.405,99987323
2011-02-28,33.81,34.915,33.023,34.087,56230285
2011-03-31,34.25,36.075,33.089,35.475,78813572
2011-04-30,35.638,37.878,35.483,37.098,54010954
2011-05-31,37.18,37.261,34.631,35.69,77321578
2011-06-30,35.896,36.246,33.039,34.094,62402271
2011-07-31,34.128,34.42,32.325,33.381,49158268
2011-08-31,33.81,33.892,26.017,31.116,108230777
2011-09-30,30.686,30.883,23.991,28.239,103146310
2011-10-31,27.252,32.042,25.879,31.158,90678583
2011-11-30,30.471,31.545,26.188,28.684,73507049
2011-12-31,28.66,29.939,27.036,27.568,55600841
2012-01-31,27.792,30.471,26.12,29.916,81142239
2012-02-29,29.871,31.57,28.669,29.184,61381250
2012-03-31,29.011,30.634,28.326,28.845,56480471
2012-04-30,29.004,29.27,26.936,29.014,44634708
2012-05-31,29.115,29.244,25.837,27.47,49881730
2012-06-30,27.46,31.077,26.745,30.899,46203580
2012-07-31,30.63,30.694,27.237,29.024,65444506
2012-08-31,28.934,31.881,28.407,31.792,66559752
2012-09-30,31.523,34.381,30.827,31.792,59486122
2012-10-31,31.703,33.345,31.39,31.871,49430375
2012-11-30,31.998,32.81,30.363,31.077,53719272
2012-12-31,31.033,33.122,30.854,32.953,49188882
2013-01-31,33.087,33.489,30.184,30.925,133799370
2013-02-28,30.827,32.014,30.434,31.792,64782507
2013-03-31,31.613,31.792,29.962,30.854,79213503
2013-04-30,30.899,31.426,28.711,29.38,64037106
2013-05-31,29.532,31.345,28.863,31.085,57782350
2013-06-30,30.658,33.605,30.184,31.792,103008979
2013-07-31,31.881,33.479,29.962,33.22,68973673
2013-08-31,33.444,35.364,33.15,34.211,63029639
