Date,Open,High,Low,Close,Volume
1991-04-30,100,100,94.56,94.56,5356
1991-05-31,93.96,96.61,93.96,95.65,25796
1991-06-30,96.94,96.94,85.02,85.02,38959
1991-07-31,89.12,89.12,82.51,82.51,77343
1991-08-31,79.42,79.42,73.97,73.97,56568
1991-09-30,72.58,72.58,68,68,93054
1991-10-31,67.85,92.32,67.85,92.32,164450
1991-11-30,99.04,99.57,85.67,85.67,159917
1991-12-31,91.71,100.19,91.71,91.91,149796
1992-01-31,97.49,97.49,91.51,93.74,138121
1992-02-29,93.51,94.16,90.13,92.54,388027
1992-03-31,94.79,95.66,88.22,88.22,966987
1992-04-30,87.83,87.83,77.42,77.42,1986974
1992-05-31,76.13,78.25,73.89,74.86,2017520
1992-06-30,74.67,74.67,63.53,72.35,1842890
1992-07-31,79.19,87.06,79.19,84.12,4069080
1992-08-31,81.91,85.04,80.79,85.04,2833568
1992-09-30,83.87,91.21,82.64,91.21,4439759
1992-10-31,93.8,96.15,87.71,94.01,5598796
1992-11-30,92.57,96.51,92.57,96.51,3337190
1992-12-31,101.34,107.09,101.34,104.06,4199613
1993-01-31,103.7,108.55,103.7,105.05,4091711
1993-02-28,105.75,108.3,104.75,108.3,3536494
1993-03-31,110.08,130.29,110.08,130.29,7299437
1993-04-30,129.32,195.03,129.32,183.74,10229988
1993-05-31,189.49,378.37,189.49,378.37,13596965
1993-06-30,370.99,370.99,263.76,350.41,16785347
1993-07-31,367.75,423.71,367.75,419.51,18694160
1993-08-31,422.75,747.4,422.75,630.78,25036967
1993-09-30,689.36,756.09,584.76,630.22,21970573
1993-10-31,654.16,810.94,654.16,797.45,23235319
1993-11-30,818.98,914.72,812.1,886.72,22334634
1993-12-31,917.24,1281.81,917.24,1243.9,22609510
1994-01-31,1304.48,1821.8,1304.48,1688.1,36483952
1994-02-28,1522.7,2019.6,1487.1,2019.6,29439931
1994-03-31,2027.5,2076,1453.6,1453.6,21367479
1994-04-30,1378.5,1401.4,998.04,1102,14927458
1994-05-31,1138.94,1247.9,1039.97,1203.6,19539217
1994-06-30,1116.6,1116.6,721.52,779.25,18420258
1994-07-31,801.9,1166.5,801.9,1071.5,24370189
1994-08-31,1079.94,1250.7,1079.94,1118.14,19409977
1994-09-30,1063.5,1063.5,870.52,918.53,16339878
1994-10-31,945.63,991.16,779.36,779.36,17066585
1994-11-30,807.84,829.02,671.62,795.93,20615892
1994-12-31,817.7,817.7,696.16,747.31,22676708
1995-01-31,767.44,796.49,615.3,615.3,18304821
1995-02-28,625.86,690.34,592.64,644.73,17728894
1995-03-31,646.02,672,590.47,617.59,12135804
1995-04-30,616.68,926.87,616.68,876.18,37152181
1995-05-31,872.5,939.69,743.39,793.67,31021481
1995-06-30,766.78,870.13,766.78,870.13,17180214
1995-07-31,875.53,898.49,833.49,839.93,19130441
1995-08-31,834.32,860.29,830.05,836.11,13536916
1995-09-30,843.61,937.01,843.61,876.11,22651037
1995-10-31,874.9,874.9,779.62,779.62,14105287
1995-11-30,807.11,833.17,778.84,786.45,16478487
1995-12-31,791.62,807.87,745.52,758.59,15110238
1996-01-31,772.52,1041.31,772.52,1041.31,40023576
1996-02-29,1027.73,1116.03,1016.94,1102.85,42325361
1996-03-31,1114.7,1204.23,1114.7,1137.85,42305365
1996-04-30,1148.97,1249.9,1141.68,1243.96,36398939
1996-05-31,1257.03,1325.79,1173.83,1189.47,38374603
1996-06-30,1206,1386.19,1206,1370.87,27641277
1996-07-31,1378.14,1428.22,1239.18,1288.73,25347419
1996-08-31,1261.94,1393.2,1233.68,1393.2,19208096
1996-09-30,1403.94,1483.27,1356.81,1474.4,25204070
1996-10-31,1475.36,1507.87,1287.33,1349.79,29381153
1996-11-30,1353.54,1391.98,1339.21,1378.97,16378985
1996-12-31,1365.33,1434.28,1329,1434.28,19375794
1997-01-31,1442.38,1691.04,1442.16,1610.55,38639922
1997-02-28,1651.09,1833.94,1651.09,1754.38,41208397
1997-03-31,1741.97,1783.02,1596.99,1669.04,34415279
1997-04-30,1610.3,1701.63,1559.62,1654.67,40190926
1997-05-31,1674.43,1689.91,1575.17,1594.17,29679721
1997-06-30,1617.97,1648.21,1514.77,1516.38,20882228
1997-07-31,1508.79,1593.36,1491.35,1516.67,30346797
1997-08-31,1511.68,1730.77,1511.68,1683.31,26160343
1997-09-30,1655.31,1801.62,1655.31,1748.28,27955951
1997-10-31,1753.44,1811.21,1495.37,1537.19,35047759
1997-11-30,1569.2,1597.72,1422.37,1432.26,24963535
1997-12-31,1441.16,1513.15,1361.98,1466.8,27906390
1998-01-31,1488.62,1488.62,1322.88,1460.15,30745430
1998-02-28,1497.82,1762.1,1497.82,1762.1,58322961
1998-03-31,1761.16,1858.27,1677.58,1686.4,47486727
1998-04-30,1703.87,1782.07,1697.34,1774.38,34616442
1998-05-31,1791.77,1803.51,1566.93,1568.33,41066781
1998-06-30,1503.84,1630.11,1455.1,1572.86,39862567
1998-07-31,1590.44,1777.43,1590.44,1653.43,50360461
1998-08-31,1595.96,1595.96,1163.59,1163.59,40243713
1998-09-30,1088.37,1296.19,1088.37,1223.83,51297554
1998-10-31,1141.3,1234.54,1047.37,1234.54,42549720
1998-11-30,1289.99,1322.02,1177.77,1177.77,50012047
1998-12-31,1153.2,1298.92,1153.2,1279.56,50953142
1999-01-31,1321.81,1470.97,1259.11,1457.35,74678765
1999-02-28,1467.62,1467.62,1323.52,1323.52,68259061
1999-03-31,1345.73,1423.21,1329.65,1413.13,97486101
1999-04-30,1422.07,1551.58,1422.07,1524.8,63280179
1999-05-31,1564.3,1601.73,1490.4,1562.3,47452803
1999-06-30,1566.91,1704.64,1559.1,1682.51,58316759
1999-07-31,1732.31,1764.59,1672.91,1698.04,49297944
